Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Hischier,NJD,22,C,70,21,39,12,60,17,-1,19:20,14:48,2:49,1:42,0.931,1.728,2.659,0.984,1.678,2.662,1.215,2.43,3.645,0.3,0.557,0.857,153,13.7%,50,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Olofsson,BUF,26,LW/RW,72,20,29,12,49,6,-16,15:22,13:06,2:13,0:00,1.084,1.571,2.655,0.827,1.463,2.29,2.623,1.873,4.496,0.278,0.403,0.681,164,12.2%,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valeri Nichushkin,COL,26,LW/RW,62,25,27,9,52,14,21,19:01,14:56,2:19,1:44,1.272,1.373,2.645,1.165,1.489,2.655,2.076,1.661,3.737,0.403,0.435,0.839,180,13.9%,89,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carter Verhaeghe,FLA,26,C/LW,78,24,31,3,55,48,24,16:03,14:39,1:05,0:18,1.15,1.485,2.635,1.26,1.47,2.73,0,2.105,2.105,0.308,0.397,0.705,167,14.4%,50,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viktor Arvidsson,LAK,28,LW/RW,66,20,29,8,49,22,1,16:58,14:20,2:37,0:01,1.071,1.553,2.623,1.014,1.585,2.599,1.387,1.387,2.774,0.303,0.439,0.742,227,8.8%,23,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Hartman,MIN,27,C/RW,82,34,31,8,65,95,31,18:10,14:48,2:20,1:01,1.368,1.248,2.616,1.631,1.186,2.817,0.312,2.183,2.494,0.415,0.378,0.793,239,14.2%,72,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cale Makar,COL,23,D,77,28,58,34,86,26,48,25:40,20:25,3:50,1:24,0.85,1.761,2.611,0.725,1.259,1.984,1.827,5.074,6.901,0.364,0.753,1.117,240,11.7%,95,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton Lundell,FLA,20,C,65,18,26,4,44,18,33,15:44,12:40,0:41,2:22,1.056,1.525,2.581,1.165,1.456,2.621,1.347,4.042,5.389,0.277,0.4,0.677,125,14.4%,26,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Mangiapane,CGY,25,LW/RW,82,35,20,11,55,38,20,15:43,12:38,1:47,1:17,1.628,0.931,2.559,1.448,0.926,2.374,3.256,1.221,4.477,0.427,0.244,0.671,185,18.9%,73,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth Jarvis,CAR,19,C/LW/RW,68,17,23,6,40,18,11,13:52,12:30,1:21,0:00,1.081,1.463,2.544,1.058,1.34,2.398,1.302,2.604,3.907,0.25,0.338,0.588,110,15.5%,69,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler Stephenson,VGK,27,C/LW/RW,79,21,43,14,64,26,5,19:17,15:30,2:14,1:33,0.827,1.692,2.519,0.686,1.666,2.351,2.026,2.701,4.727,0.266,0.544,0.81,125,16.8%,68,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared McCann,SEA,25,C/LW,74,27,23,17,50,33,-26,16:08,13:19,2:36,0:12,1.357,1.156,2.513,1.096,0.852,1.948,2.49,2.802,5.292,0.365,0.311,0.676,199,13.6%,65,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Domi,CAR,26,C/LW/RW,72,11,28,4,39,55,10,13:02,11:48,1:13,0:00,0.703,1.79,2.493,0.776,1.693,2.469,0,2.737,2.737,0.153,0.389,0.542,104,10.6%,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Hedman,TBL,31,D,82,20,65,38,85,36,26,25:04,19:28,3:35,2:01,0.584,1.897,2.48,0.526,1.24,1.766,1.225,6.533,7.758,0.244,0.793,1.037,219,9.1%,93,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Tuch,BUF,25,LW/RW,50,12,26,8,38,14,-3,18:23,14:01,2:52,1:26,0.783,1.697,2.48,0.77,1.711,2.481,0.835,2.506,3.341,0.24,0.52,0.76,139,8.6%,32,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor Garland,VAN,25,LW/RW,77,19,33,3,52,36,18,16:24,14:46,1:35,0:02,0.902,1.567,2.47,0.95,1.635,2.585,0.488,0.975,1.463,0.247,0.429,0.675,203,9.4%,52,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Nugent-Hopkins,EDM,28,C/LW,63,11,39,23,50,16,3,19:19,13:50,3:28,2:00,0.542,1.923,2.465,0.482,1.033,1.514,0.274,6.038,6.313,0.175,0.619,0.794,154,7.1%,42,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Bennett,FLA,25,C/LW,71,28,21,9,49,74,27,16:57,13:58,2:12,0:46,1.396,1.047,2.443,1.391,0.967,2.358,1.92,1.536,3.455,0.394,0.296,0.69,241,11.6%,119,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Toffoli,CGY,29,LW/RW,74,20,29,16,49,14,-5,16:18,12:46,2:26,1:05,0.995,1.442,2.437,0.635,1.269,1.904,2.662,2.662,5.325,0.27,0.392,0.662,195,10.3%,81,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony DeAngelo,CAR,26,D,64,10,41,20,51,56,30,19:48,16:37,3:02,0:08,0.473,1.941,2.414,0.451,1.297,1.749,0.616,5.54,6.155,0.156,0.641,0.797,151,6.6%,41,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Stützle,OTT,19,C/LW,79,22,36,26,58,37,-27,18:24,15:02,3:14,0:07,0.908,1.485,2.393,0.707,0.859,1.566,1.64,4.452,6.093,0.278,0.456,0.734,176,12.5%,125,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Strome,CHI,24,C/RW,69,22,26,16,48,28,-6,17:26,14:42,2:42,0:01,1.097,1.296,2.393,1.005,0.887,1.892,1.608,3.537,5.145,0.319,0.377,0.696,126,17.5%,11,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anze Kopitar,LAK,34,C,81,19,48,22,67,14,-6,20:46,15:44,3:19,1:42,0.678,1.712,2.39,0.612,1.459,2.071,1.335,3.561,4.896,0.235,0.593,0.827,210,9.1%,72,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Strome,NYR,28,C/RW,74,21,33,14,54,69,15,18:19,15:00,2:47,0:32,0.929,1.46,2.389,0.811,1.297,2.108,1.455,2.62,4.075,0.284,0.446,0.73,161,13.0%,41,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Bjorkstrand,CBJ,26,LW/RW,80,28,29,19,57,16,-35,17:56,14:46,3:06,0:03,1.17,1.212,2.382,0.965,0.965,1.93,2.168,2.409,4.576,0.35,0.363,0.713,215,13.0%,85,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Fox,NYR,23,D,78,11,63,33,74,26,18,23:54,18:48,2:57,2:08,0.354,2.027,2.381,0.409,1.186,1.595,0,8.583,8.583,0.141,0.808,0.949,158,7.0%,30,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nino Niederreiter,CAR,29,LW/RW,75,24,20,5,44,34,29,14:50,13:21,1:28,0:00,1.294,1.078,2.372,1.197,1.137,2.334,2.178,0.545,2.723,0.32,0.267,0.587,144,16.7%,119,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikael Granlund,NSH,29,C/RW,80,11,53,28,64,33,-9,20:24,15:24,3:07,1:52,0.404,1.947,2.351,0.389,1.362,1.752,0.719,5.992,6.711,0.138,0.663,0.8,117,9.4%,92,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomas Hertl,SJS,28,C/LW,82,30,34,16,64,30,-9,19:56,15:54,2:29,1:32,1.101,1.248,2.348,1.104,1.058,2.161,1.76,2.933,4.693,0.366,0.415,0.78,205,14.6%,105,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre-Luc Dubois,WPG,23,C,81,28,32,19,60,106,-6,18:55,15:47,3:06,0:01,1.096,1.252,2.348,0.61,1.313,1.923,3.571,0.952,4.524,0.346,0.395,0.741,233,12.0%,112,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan O'Reilly,STL,30,C,78,21,37,16,58,12,11,19:04,14:37,2:35,1:51,0.847,1.492,2.338,0.631,1.525,2.156,2.671,2.077,4.748,0.269,0.474,0.744,168,12.5%,20,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ondrej Palat,TBL,30,LW,77,18,31,6,49,20,15,16:29,14:04,2:06,0:18,0.851,1.465,2.315,0.941,1.384,2.325,0.371,1.853,2.224,0.234,0.403,0.636,143,12.6%,124,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Killorn,TBL,32,LW/RW,82,25,34,14,59,66,1,18:41,13:43,3:12,1:45,0.978,1.331,2.309,1.013,1.386,2.398,1.365,1.821,3.186,0.305,0.415,0.72,164,15.2%,88,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Caufield,MTL,20,LW/RW,67,23,20,13,43,10,-24,16:40,13:48,2:51,0:00,1.235,1.074,2.309,1.167,0.778,1.945,1.569,2.511,4.081,0.343,0.299,0.642,188,12.2%,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Couture,SJS,32,C,77,23,33,17,56,18,-11,18:55,14:33,2:28,1:54,0.947,1.358,2.305,0.857,1.071,1.927,1.575,3.781,5.356,0.299,0.429,0.727,199,11.6%,92,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Copp,NYR,27,C/LW/RW,72,21,32,10,53,16,15,19:10,14:39,2:13,2:17,0.913,1.391,2.303,0.909,1.364,2.274,1.121,2.616,3.737,0.292,0.444,0.736,183,11.5%,45,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Raymond,DET,19,LW/RW,82,23,34,18,57,16,-32,18:09,15:20,2:47,0:01,0.927,1.37,2.297,0.859,1.002,1.86,1.308,3.401,4.709,0.28,0.415,0.695,184,12.5%,62,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Carlson,WSH,31,D,78,17,54,25,71,20,13,23:48,18:06,3:58,1:43,0.549,1.745,2.294,0.425,1.402,1.827,1.352,3.477,4.829,0.218,0.692,0.91,195,8.7%,73,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reilly Smith,VGK,30,RW,56,16,22,7,38,8,4,17:47,14:12,1:48,1:46,0.964,1.325,2.289,0.829,1.206,2.035,1.783,2.377,4.16,0.286,0.393,0.679,150,10.7%,55,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Horvat,VAN,26,C,70,31,21,19,52,40,3,19:30,15:04,3:14,1:10,1.362,0.923,2.285,0.966,0.853,1.819,3.429,1.583,5.012,0.443,0.3,0.743,194,16.0%,96,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Moore,LAK,26,LW/RW,81,17,31,2,48,20,20,15:41,13:25,1:02,1:13,0.803,1.464,2.266,0.607,1.6,2.207,0.715,0.715,1.43,0.21,0.383,0.593,202,8.4%,69,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Ekblad,FLA,25,D,61,15,42,20,57,26,38,24:54,18:36,3:30,2:47,0.592,1.658,2.25,0.634,1.163,1.797,0.84,4.76,5.6,0.246,0.689,0.934,180,8.3%,62,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Haula,BOS,30,C/LW,78,18,26,4,44,47,19,15:05,13:23,0:57,0:44,0.918,1.326,2.244,0.919,1.379,2.299,1.613,1.613,3.225,0.231,0.333,0.564,141,12.8%,129,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Konecny,PHI,24,RW,79,16,36,10,52,77,-23,17:36,14:42,2:43,0:10,0.69,1.552,2.242,0.671,1.497,2.168,0.834,1.946,2.78,0.203,0.456,0.658,220,7.3%,80,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yegor Sharangovich,NJD,23,C/LW/RW,76,24,22,3,46,23,-14,16:30,14:15,1:13,1:01,1.148,1.052,2.2,1.107,1.162,2.269,1.298,0.649,1.947,0.316,0.289,0.605,168,14.3%,30,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Hyman,EDM,29,LW/RW,76,27,27,10,54,36,-9,19:27,15:17,2:24,1:46,1.095,1.095,2.19,1.084,0.981,2.065,1.645,1.645,3.289,0.355,0.355,0.711,213,12.7%,74,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boone Jenner,CBJ,28,C/LW,59,23,21,10,44,22,-11,20:27,15:52,2:58,1:36,1.144,1.044,2.188,0.96,1.217,2.177,2.739,0.685,3.423,0.39,0.356,0.746,160,14.4%,80,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders Lee,NYI,31,LW,76,28,18,13,46,34,-11,16:37,14:15,2:21,0:00,1.329,0.854,2.184,1.052,0.775,1.826,3.015,1.34,4.356,0.368,0.237,0.605,159,17.6%,94,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake DeBrusk,BOS,25,LW/RW,77,25,17,4,42,10,6,15:01,13:06,1:18,0:37,1.296,0.882,2.178,1.308,0.951,2.259,1.795,0.598,2.394,0.325,0.221,0.545,184,13.6%,62,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Suzuki,MTL,22,C/RW,82,21,40,20,61,30,-29,20:30,15:54,3:05,1:30,0.749,1.427,2.177,0.552,1.196,1.748,1.894,2.841,4.735,0.256,0.488,0.744,186,11.3%,89,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Wilson,WSH,27,RW,78,24,28,10,52,98,13,18:34,14:27,2:31,1:36,0.994,1.159,2.153,0.958,1.118,2.076,1.217,1.826,3.043,0.308,0.359,0.667,151,15.9%,240,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Danault,LAK,28,C,79,27,24,4,51,38,14,18:07,14:22,2:02,1:42,1.131,1.006,2.137,1.321,1.004,2.325,0.742,0.742,1.483,0.342,0.304,0.646,194,13.9%,74,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinton Hughes,VAN,22,D,76,8,60,31,68,28,10,25:14,20:33,3:28,1:12,0.25,1.876,2.126,0.307,1.037,1.344,0,7.03,7.03,0.105,0.789,0.895,150,5.3%,19,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Trocheck,CAR,28,C,81,21,30,12,51,78,21,17:52,13:13,2:52,1:46,0.87,1.243,2.114,0.84,1.344,2.184,1.545,1.545,3.089,0.259,0.37,0.63,168,12.5%,185,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanni Gourde,SEA,30,C/RW,74,21,27,7,48,45,-13,18:28,14:57,1:57,1:34,0.921,1.185,2.106,0.922,1.084,2.006,1.243,1.658,2.901,0.284,0.365,0.649,127,16.5%,77,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Rielly,TOR,27,D,82,10,58,23,68,40,16,23:44,19:09,2:53,1:41,0.308,1.788,2.096,0.306,1.299,1.604,0.505,5.306,5.811,0.122,0.707,0.829,221,4.5%,92,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Boeser,VAN,24,RW,71,23,23,17,46,20,-5,18:35,15:29,3:05,0:01,1.045,1.045,2.09,0.655,0.873,1.528,3.008,1.641,4.649,0.324,0.324,0.648,195,11.8%,35,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Eriksson Ek,MIN,24,C,77,26,23,17,49,28,16,18:34,13:27,2:58,2:08,1.091,0.965,2.055,0.811,1.042,1.853,3.143,1.31,4.453,0.338,0.299,0.636,223,11.7%,138,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Puljujärvi,EDM,23,RW,65,14,22,7,36,20,22,16:13,14:45,1:28,0:00,0.796,1.251,2.048,0.626,1.189,1.814,2.515,1.886,4.401,0.215,0.338,0.554,160,8.8%,81,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Toews,COL,27,D,66,13,44,12,57,20,52,25:22,20:52,1:42,2:47,0.466,1.577,2.043,0.479,1.481,1.96,1.061,5.305,6.366,0.197,0.667,0.864,158,8.2%,54,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artturi Lehkonen,COL,26,LW/RW,74,19,19,3,38,22,1,15:05,12:11,1:01,1:53,1.021,1.021,2.041,0.998,1.197,2.195,1.589,0.794,2.383,0.257,0.257,0.514,155,12.3%,82,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Seguin,DAL,29,C/RW,81,24,25,13,49,30,-21,17:49,15:08,2:30,0:10,0.998,1.039,2.037,1.028,0.734,1.762,0.885,2.949,3.834,0.296,0.309,0.605,218,11.0%,96,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristopher Letang,PIT,34,D,78,10,58,22,68,49,20,25:46,20:52,3:28,1:25,0.298,1.731,2.029,0.295,1.4,1.695,0.442,4.419,4.861,0.128,0.744,0.872,214,4.7%,171,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny Milano,ANA,25,LW/RW,66,14,20,10,34,10,-9,15:16,13:08,2:08,0:00,0.833,1.19,2.023,0.623,1.038,1.661,2.125,2.125,4.25,0.212,0.303,0.515,94,14.9%,27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torey Krug,STL,30,D,64,9,34,19,43,48,23,20:33,17:33,2:48,0:10,0.411,1.551,1.962,0.267,0.961,1.228,0.999,5.327,6.326,0.141,0.531,0.672,119,7.6%,53,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rickard Rakell,PIT,28,LW/RW,70,20,21,10,41,12,0,17:59,15:40,2:17,0:01,0.953,1.001,1.954,0.82,0.874,1.694,1.877,1.877,3.754,0.286,0.3,0.586,184,10.9%,99,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Necas,CAR,22,C/RW,78,14,26,4,40,32,5,16:11,13:14,1:38,1:17,0.665,1.235,1.901,0.639,1.393,2.032,0.936,0.936,1.871,0.179,0.333,0.513,159,8.8%,55,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Jeannot,NSH,24,LW/RW,81,24,17,3,41,130,2,15:59,12:56,0:29,2:32,1.112,0.788,1.9,1.202,0.916,2.117,2.978,1.489,4.467,0.296,0.21,0.506,124,19.4%,318,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson Mercer,NJD,20,C/RW,82,17,25,5,42,28,-25,16:32,14:21,1:53,0:18,0.752,1.106,1.858,0.714,1.07,1.784,0.777,1.165,1.941,0.207,0.305,0.512,154,11.0%,26,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Cirelli,TBL,24,C/RW,76,17,26,8,43,70,15,18:18,14:47,1:25,2:06,0.733,1.121,1.854,0.694,1.121,1.815,1.665,2.775,4.44,0.224,0.342,0.566,146,11.6%,75,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavel Zacha,NJD,24,C/LW,70,15,21,8,36,22,-21,16:50,14:16,2:11,0:22,0.763,1.069,1.832,0.661,1.021,1.681,1.565,1.565,3.129,0.214,0.3,0.514,148,10.1%,80,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Brown,OTT,27,LW/RW,64,10,29,9,39,10,-15,20:03,15:21,2:04,2:38,0.467,1.356,1.823,0.549,1.038,1.587,0,4.073,4.073,0.156,0.453,0.609,121,8.3%,14,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Cozens,BUF,20,C/RW,79,13,25,9,38,55,-19,15:54,13:28,1:55,0:29,0.621,1.194,1.815,0.62,0.958,1.578,0.789,2.762,3.551,0.165,0.316,0.481,160,8.1%,35,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kailer Yamamoto,EDM,23,RW,81,20,21,6,41,40,-1,16:52,14:53,0:49,1:09,0.878,0.922,1.8,0.796,0.845,1.641,2.703,2.703,5.405,0.247,0.259,0.506,114,17.5%,114,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Karlsson,SJS,31,D,50,10,25,10,35,14,-14,23:28,19:08,2:50,1:29,0.511,1.278,1.789,0.627,0.94,1.567,0,4.227,4.227,0.2,0.5,0.7,117,8.6%,18,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Dobson,NYI,21,D,80,13,38,22,51,18,-3,21:27,18:09,2:37,0:40,0.454,1.328,1.782,0.413,0.784,1.197,0.859,5.443,6.303,0.163,0.475,0.638,190,6.8%,78,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Barrie,EDM,30,D,73,7,34,21,41,18,3,18:57,15:42,2:51,0:23,0.303,1.474,1.777,0.209,0.785,0.994,0.863,5.18,6.043,0.096,0.466,0.562,149,4.7%,27,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie McAvoy,BOS,24,D,78,10,46,21,56,66,31,24:39,19:23,3:06,2:09,0.312,1.435,1.747,0.198,1.15,1.349,0.988,4.201,5.189,0.128,0.59,0.718,166,6.0%,155,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Spurgeon,MIN,32,D,65,10,30,14,40,10,32,21:09,16:07,3:01,2:00,0.436,1.309,1.745,0.572,0.916,1.488,0,4.266,4.266,0.154,0.462,0.615,116,8.6%,44,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shea Theodore,VGK,26,D,78,14,38,12,52,24,6,23:08,20:21,2:27,0:18,0.465,1.263,1.729,0.491,1.02,1.511,0.312,3.432,3.744,0.179,0.487,0.667,205,6.8%,37,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Gabriel Pageau,NYI,29,C,77,18,21,7,39,30,0,17:40,13:41,2:04,1:55,0.794,0.926,1.719,0.74,0.854,1.594,1.507,1.13,2.637,0.234,0.273,0.506,126,14.3%,171,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Klingberg,DAL,29,D,74,6,41,20,47,34,-28,22:12,19:06,2:50,0:15,0.219,1.497,1.716,0.212,0.933,1.145,0.286,5.429,5.715,0.081,0.554,0.635,139,4.3%,57,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Karlsson,VGK,28,C/LW,67,12,23,3,35,10,3,18:16,14:43,2:01,1:31,0.588,1.127,1.714,0.548,1.278,1.825,0.441,0.882,1.323,0.179,0.343,0.522,135,8.9%,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shayne Gostisbehere,ARI,28,D,82,14,37,19,51,26,-23,22:11,18:29,2:50,0:51,0.462,1.22,1.682,0.475,0.791,1.266,0.514,4.369,4.883,0.171,0.451,0.622,151,9.3%,60,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Hanifin,CGY,24,D,81,10,38,13,48,19,27,21:18,17:35,1:50,1:53,0.348,1.321,1.669,0.379,1.053,1.432,0.403,4.834,5.237,0.123,0.469,0.593,189,5.3%,63,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasmus Dahlin,BUF,21,D,80,13,40,21,53,68,-22,24:00,20:02,3:04,0:54,0.406,1.249,1.655,0.374,0.786,1.16,0.73,4.381,5.111,0.163,0.5,0.663,170,7.7%,121,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
