Max Pacioretty,VGK,LW,29,15,14,29,6,27,106,3,4,5,0,0,23,15
David Perron,STL,RW,43,14,18,32,5,34,103,1,5,8,0,0,55,9
Jeff Carter,PIT,C,53,14,18,32,-2,28,153,2,1,3,0,0,73,33
Victor Hedman,TB,D,57,14,43,57,14,26,142,5,2,20,0,0,67,84
Jamie Benn,DAL,C,56,14,17,31,-4,68,130,1,2,7,1,0,111,43
Ryan Johansen,NSH,C,54,14,27,41,1,41,82,3,4,11,0,0,42,27
Gustav Nyquist,CLS,RW,59,14,21,35,-8,16,73,0,1,1,4,0,32,39
Chandler Stephenson,VGK,C,57,14,29,43,3,26,86,2,1,6,1,1,52,36
Valeri Nichushkin,COL,LW,41,14,17,31,19,10,107,2,2,1,2,0,61,22
Nikolaj Ehlers,WPG,LW,39,14,15,29,7,16,153,1,1,4,0,0,18,15
Conor Garland,VAN,RW,54,14,17,31,10,28,146,3,1,1,0,0,42,13
Alex Iafallo,LA,C,57,14,16,30,6,4,158,2,2,3,1,1,32,45
Yegor Sharangovich,NJ,LW,52,14,16,30,-7,6,110,2,1,1,1,0,22,20
Dawson Mercer,NJ,C,58,14,20,34,-3,20,104,2,2,3,1,1,15,28
Anton Lundell,FLA,C,52,14,24,38,30,16,97,3,1,3,0,2,25,47
Tim Stutzle,OTT,LW,56,13,21,34,-20,29,121,3,4,10,0,0,93,33
Alexis Lafreniere,NYR,LW,56,13,5,18,-2,33,75,4,0,0,0,0,81,21
Drake Batherson,OTT,RW,31,13,21,34,4,18,74,0,2,9,0,0,65,12
Nick Suzuki,MON,C,57,13,27,40,-17,20,130,4,6,9,1,2,68,45
Ryan O'Reilly,STL,C,53,13,25,38,9,4,119,0,5,3,0,0,15,29
James van Riemsdyk,PHI,LW,57,13,9,22,-28,21,124,4,7,0,0,0,22,17
Taylor Hall,BOS,LW,58,12,30,42,3,30,147,1,4,7,0,0,41,30
Calle Jarnkrok,SEA,C,48,12,14,26,-13,2,81,1,2,3,0,0,28,14
Mathew Barzal,NYI,C,46,12,25,37,-5,14,115,1,1,9,0,0,26,10
John Carlson,WAS,D,56,10,39,49,11,16,135,1,4,13,0,3,39,76
Jason Spezza,TOR,C,52,10,10,20,-2,20,69,0,3,6,0,0,17,18
Evgeni Malkin,PIT,C,23,10,14,24,-4,10,67,2,6,7,0,0,12,7
Nikita Kucherov,TB,RW,22,10,20,30,-4,6,82,0,4,9,0,0,14,3
Jean-Gabriel Pageau,NYI,C,53,10,14,24,-3,26,90,0,2,2,1,2,103,33
Nick Paul,OTT,LW,56,10,7,17,-17,22,128,1,2,0,0,0,66,40
Garnet Hathaway,WAS,RW,55,10,10,20,19,41,99,3,0,0,0,1,181,43
Zach Werenski,CLS,D,53,10,26,36,-11,20,173,2,4,7,0,1,25,73
Travis Konecny,PHI,C,55,10,24,34,-15,47,148,1,3,5,0,0,67,25
Robert Thomas,STL,C,50,10,34,44,7,12,78,3,0,8,1,1,12,15
Martin Necas,CAR,C,53,9,20,29,5,22,99,5,1,2,0,0,44,16
Jacob Peterson,DAL,LW,47,9,3,12,-2,10,64,4,0,0,0,0,15,17
Tony DeAngelo,CAR,D,43,9,31,40,19,44,93,2,1,15,0,0,26,40
Kasperi Kapanen,PIT,RW,57,9,17,26,0,8,101,2,0,4,0,0,78,17
Jacob Trouba,NYR,D,58,9,19,28,12,78,152,1,1,2,0,1,155,131
Mikael Granlund,NSH,C,55,9,34,43,4,25,87,2,3,15,0,0,51,29
Dougie Hamilton,NJ,D,38,9,15,24,-6,26,131,1,2,6,0,0,51,57
Patric Hornqvist,FLA,RW,48,9,13,22,-4,13,122,0,3,4,0,0,87,14
Erik Karlsson,SJ,D,34,8,20,28,-4,14,86,2,0,9,0,0,14,35
Alex Pietrangelo,VGK,D,58,8,23,31,-2,36,167,0,2,7,1,1,51,126
Evander Kane,EDM,LW,19,8,6,14,7,22,61,0,2,1,0,0,56,5
Dustin Brown,LA,RW,56,8,17,25,-5,20,132,0,1,2,0,0,78,16
Blake Wheeler,WPG,RW,45,8,34,42,-10,24,106,1,2,12,0,0,47,25
T.J. Oshie,WAS,RW,26,8,11,19,-9,8,43,1,3,4,0,1,49,17
Jordan Staal,CAR,C,55,8,13,21,10,10,99,1,1,1,0,0,168,25
Derek Grant,ANH,C,52,8,7,15,-14,25,82,1,2,0,1,1,49,32
Mark Stone,VGK,RW,28,8,20,28,7,8,53,2,2,2,0,1,14,19
Mike Matheson,PIT,D,51,8,14,22,7,16,88,5,0,1,0,0,68,51
Shea Theodore,VGK,D,56,8,28,36,-1,20,143,1,1,9,0,0,27,69
Nic Dowd,WAS,C,47,8,9,17,10,30,71,0,0,0,1,0,102,38
Sean Monahan,CGY,C,57,8,14,22,-15,22,100,2,5,8,0,0,53,19
Erik Haula,BOS,C,55,8,17,25,5,31,98,1,1,2,0,0,99,28
Vinnie Hinostroza,BUF,RW,39,8,10,18,-7,8,59,0,1,0,0,0,11,7
Damon Severson,NJ,D,56,8,25,33,-12,51,120,0,4,9,0,1,58,67
Teddy Blueger,PIT,C,42,8,9,17,7,6,67,0,0,0,1,0,56,19
Brendan Lemieux,LA,LW,44,8,3,11,5,86,63,2,0,0,0,0,108,15
Alex Tuch,BUF,RW,27,8,16,24,6,10,83,0,2,2,0,0,20,27
Michael Rasmussen,DET,C,56,8,11,19,-22,36,92,1,0,2,0,0,78,45
David Kampf,TOR,RW,58,8,13,21,6,18,72,1,0,0,2,2,52,20
Blake Lizotte,LA,LW,53,8,9,17,13,26,67,1,0,0,1,1,54,9
Kirby Dach,CHI,C,56,8,14,22,-7,39,93,0,2,3,0,1,38,35
Rasmus Dahlin,BUF,D,57,8,29,37,-15,52,123,1,2,13,0,0,77,66
Eetu Luostarinen,FLA,LW,54,8,9,17,3,10,59,4,0,0,1,0,74,35
Eeli Tolvanen,NSH,LW,54,7,10,17,0,12,125,1,1,5,0,0,132,26
Filip Zadina,DET,RW,56,7,12,19,-23,6,118,1,3,4,0,0,39,26
Adam Fox,NYR,D,55,7,50,57,7,14,99,1,0,26,1,1,25,107
Charlie McAvoy,BOS,D,55,7,29,36,11,48,109,3,4,12,0,0,106,87
Carl Grundstrom,LA,LW,35,7,4,11,5,16,54,1,0,0,0,0,79,10
Jakob Chychrun,ARI,D,46,7,14,21,-20,47,141,2,1,0,0,0,51,66
Yegor Chinakhov,CLS,RW,48,7,5,12,-22,14,79,1,1,0,0,0,33,12
Connor McMichael,WAS,C,55,7,8,15,-4,6,85,0,0,0,0,0,38,17
Oliver Kylington,CGY,D,56,7,18,25,26,12,106,2,1,2,0,0,31,62
Vince Dunn,SEA,D,55,7,15,22,-22,42,88,0,2,4,0,0,59,56
Jake Evans,MON,LW,48,7,10,17,-11,18,88,0,0,0,0,1,69,23
Christian Dvorak,MON,LW,34,7,9,16,-17,20,54,1,1,3,0,0,23,39
Warren Foegele,EDM,LW,58,7,13,20,-14,18,106,2,2,0,0,0,89,12
Nicolas Aube-Kubel,COL,C,53,7,9,16,6,43,63,1,0,0,0,0,100,12
Connor Brown,OTT,RW,43,7,25,32,-4,4,86,0,0,8,0,3,10,31
Jimmy Vesey,NJ,LW,54,7,7,14,-18,8,90,2,0,0,2,0,75,25
Josh Morrissey,WPG,D,56,7,17,24,-6,40,120,2,4,7,0,0,107,72
Alexander Wennberg,SEA,C,60,7,19,26,-20,22,74,1,1,4,0,0,36,31
Pierre-Edouard Bellemare,TB,C,56,7,9,16,19,17,55,1,0,0,1,0,62,31
Carson Soucy,SEA,D,42,7,7,14,10,27,56,0,0,2,1,0,79,47
Tyler Motte,VAN,C,44,7,7,14,5,18,79,1,0,0,1,0,75,48
Mattias Janmark,VGK,C,47,7,10,17,-1,10,57,1,0,0,1,1,15,20
William Karlsson,VGK,C,45,7,14,21,-2,6,81,0,1,2,1,0,26,30
Torey Krug,STL,D,52,7,23,30,24,46,96,1,2,10,1,0,41,56
Brady Skjei,CAR,D,57,7,17,24,14,38,123,0,0,0,0,0,65,54
Zemgus Girgensons,BUF,C,34,7,5,12,-6,25,61,1,3,1,0,0,49,13
Justin Faulk,STL,D,51,7,20,27,34,35,109,3,1,5,0,0,114,69
Jaden Schwartz,SEA,LW,33,7,14,21,-14,14,87,0,1,2,0,0,42,11
Derek Stepan,CAR,C,40,7,7,14,-1,10,68,0,0,0,0,0,19,19
Ryan Nugent-Hopkins,EDM,LW,45,7,30,37,4,10,117,1,0,16,1,2,32,22
Zach Parise,NYI,LW,55,7,16,23,0,18,89,2,0,5,1,0,36,35
Kevin Shattenkirk,ANH,D,60,7,20,27,-5,26,120,1,1,12,0,0,47,93
Drew Doughty,LA,D,39,7,24,31,4,30,99,1,4,9,0,0,60,53
Nick Bonino,SJ,C,55,7,7,14,-21,14,87,0,2,3,0,0,24,71
Casey Cizikas,NYI,C,48,7,4,11,-1,30,59,2,0,0,0,0,103,30
Ben Chiarot,MON,D,52,7,9,16,-19,42,94,1,1,1,0,0,108,84
Kyle Palmieri,NYI,RW,42,7,10,17,-5,43,90,1,1,1,0,0,54,13
Marcus Johansson,SEA,LW,48,6,15,21,-23,4,77,1,3,5,0,0,17,16
