Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS
Mark Scheifele,WPG,28,C,71,29,44,20,73,45,2,21:48,18:15,3:18,0:14,1.124,1.705,2.829,0.88,1.574,2.454,2.555,2.555,5.111,0.408,0.62,1.028,170,17.1%,34,49
Dominik Kubalik,CHI,25,RW,68,30,16,8,46,16,2,14:22,12:24,1:56,0:01,1.841,0.982,2.824,1.85,0.854,2.704,1.811,1.811,3.621,0.441,0.235,0.676,157,19.1%,79,17
Aleksander Barkov,FLA,26,C,66,20,42,20,62,18,2,20:00,15:30,3:23,1:06,0.908,1.908,2.816,0.762,1.641,2.403,1.877,3.486,5.363,0.303,0.636,0.939,172,11.6%,21,35
Anthony Mantha,WSH,26,LW,43,16,22,9,38,34,-7,18:53,15:49,3:03,0:00,1.182,1.625,2.806,0.882,1.675,2.557,2.741,1.37,4.111,0.372,0.512,0.884,137,11.7%,49,25
Nicklas Bäckström,WSH,32,C,61,12,42,18,54,14,-1,19:01,15:02,3:45,0:13,0.62,2.172,2.792,0.654,1.7,2.353,0.524,4.195,4.719,0.197,0.689,0.885,132,9.1%,30,45
Evgeny Kuznetsov,WSH,29,C,63,19,33,12,52,40,-2,17:49,14:37,3:10,0:01,1.015,1.763,2.779,0.846,1.757,2.604,1.801,1.801,3.602,0.302,0.524,0.825,129,14.7%,35,16
David Perron,STL,33,LW,71,25,35,27,60,52,2,18:19,15:18,2:58,0:01,1.153,1.615,2.768,0.884,0.939,1.822,2.55,5.1,7.651,0.352,0.493,0.845,166,15.1%,67,19
Ryan Nugent-Hopkins,EDM,28,LW,65,22,39,24,61,33,1,20:28,15:00,3:44,1:42,0.992,1.759,2.751,0.922,1.353,2.275,1.725,4.189,5.914,0.338,0.6,0.938,172,12.8%,33,44
Brayden Schenn,STL,30,RW,71,25,33,21,58,44,3,18:27,15:22,2:51,0:13,1.145,1.511,2.655,0.824,1.209,2.033,2.961,3.257,6.218,0.352,0.465,0.817,138,18.1%,119,21
John Carlson,WSH,31,D,69,15,60,26,75,26,12,24:36,19:06,4:00,1:29,0.53,2.12,2.65,0.591,1.638,2.229,0.434,5.207,5.641,0.217,0.87,1.087,189,7.9%,55,108
Jaden Schwartz,STL,28,LW,71,22,35,20,57,18,3,18:10,15:09,2:48,0:12,1.023,1.627,2.65,0.725,1.338,2.063,2.711,3.313,6.024,0.31,0.493,0.803,162,13.6%,60,28
Johnny Gaudreau,CGY,28,LW,70,18,40,18,58,12,-10,18:46,15:51,2:53,0:00,0.822,1.827,2.649,0.649,1.513,2.162,1.775,3.55,5.325,0.257,0.571,0.829,209,8.6%,1,11
Mathew Barzal,NYI,24,C,68,19,41,12,60,44,5,20:02,17:23,2:38,0:00,0.837,1.806,2.642,0.761,1.674,2.435,1.339,2.679,4.018,0.279,0.603,0.882,171,11.1%,22,43
Filip Forsberg,NSH,27,LW,63,21,27,14,48,29,-7,17:21,14:05,2:51,0:23,1.153,1.482,2.635,0.946,1.351,2.297,2.328,2.328,4.656,0.333,0.429,0.762,198,10.6%,82,27
Robert Thomas,STL,20,RW,66,10,32,7,42,18,9,14:33,13:07,1:25,0:00,0.624,1.998,2.622,0.623,1.801,2.424,0.638,3.825,4.463,0.152,0.485,0.636,87,11.5%,13,13
Jonathan Toews,CHI,31,C,70,18,42,8,60,48,-2,19:46,14:32,3:18,1:55,0.78,1.82,2.6,0.943,2.063,3.006,0.259,1.812,2.07,0.257,0.6,0.857,172,10.5%,56,35
Sean Couturier,PHI,28,C,69,22,37,13,59,30,21,19:49,15:02,2:45,2:02,0.965,1.622,2.587,1.041,1.619,2.661,1.26,2.834,4.094,0.319,0.536,0.855,185,11.9%,60,26
Brendan Gallagher,MTL,28,RW,59,22,21,5,43,29,9,16:54,14:49,2:03,0:01,1.323,1.263,2.586,1.44,1.166,2.605,0.495,1.982,2.477,0.373,0.356,0.729,226,9.7%,53,29
Ryan Strome,NYR,28,RW,70,18,41,17,59,48,21,19:35,14:23,2:57,2:14,0.788,1.794,2.582,0.893,1.548,2.442,0.871,4.065,4.937,0.257,0.586,0.843,154,11.7%,45,32
Brock Boeser,VAN,24,RW,57,16,29,14,45,14,4,18:34,14:25,4:07,0:01,0.907,1.644,2.551,0.803,1.459,2.262,1.277,2.298,3.575,0.281,0.509,0.789,169,9.5%,28,14
Reilly Smith,VGK,30,RW,71,27,27,5,54,20,17,17:54,14:05,1:53,1:55,1.274,1.274,2.548,1.319,1.379,2.697,1.338,0.892,2.229,0.38,0.38,0.761,169,16.0%,55,30
Victor Olofsson,BUF,26,LW,54,20,22,17,42,6,-1,18:23,14:56,3:19,0:07,1.209,1.33,2.538,0.67,1.19,1.86,3.679,2.007,5.686,0.37,0.407,0.778,127,15.8%,10,16
Anze Kopitar,LAK,34,C,70,21,41,21,62,16,6,21:02,16:21,2:52,1:47,0.856,1.67,2.526,0.681,1.414,2.095,2.081,4.163,6.244,0.3,0.586,0.886,135,15.6%,49,56
Brock Nelson,NYI,30,C,68,26,28,7,54,32,6,18:51,15:15,2:01,1:34,1.216,1.31,2.526,1.273,1.446,2.719,1.738,1.304,3.042,0.382,0.412,0.794,175,14.9%,49,44
Jason Zucker,PIT,27,RW,60,20,21,12,41,21,-4,16:20,13:56,2:17,0:06,1.224,1.285,2.51,0.933,1.148,2.081,3.045,2.175,5.221,0.333,0.35,0.683,111,18.0%,53,23
Ryan O'Reilly,STL,30,C,71,12,49,18,61,10,11,20:34,15:32,2:53,2:08,0.493,2.013,2.506,0.49,1.795,2.284,0.584,4.674,5.258,0.169,0.69,0.859,118,10.2%,16,42
Cale Makar,COL,23,D,57,12,38,19,50,12,12,21:00,17:11,3:43,0:06,0.601,1.904,2.505,0.49,1.409,1.899,1.13,4.239,5.37,0.211,0.667,0.877,121,9.9%,45,47
Taylor Hall,BOS,29,LW,65,16,36,18,52,34,-14,19:10,15:30,3:27,0:12,0.77,1.733,2.503,0.714,1.31,2.024,1.066,3.732,4.798,0.246,0.554,0.8,232,6.9%,47,29
