Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reilly Smith,VGK,30,RW,53,14,11,5,25,18,10,17:52,13:50,2:19,1:43,0.887,0.697,1.584,0.655,0.818,1.473,1.952,0.488,2.44,0.264,0.208,0.472,124,11.3%,46,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Haula,BOS,30,C/LW,51,9,12,3,21,14,4,16:00,12:31,1:29,1:59,0.662,0.882,1.544,0.564,0.939,1.503,0.792,1.583,2.375,0.176,0.235,0.412,85,10.6%,63,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Leddy,NYI,29,D,56,2,29,11,31,8,-3,21:35,19:06,2:10,0:18,0.099,1.439,1.538,0.056,1.066,1.122,0.493,4.933,5.426,0.036,0.518,0.554,79,2.5%,58,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Larkin,DET,25,C,44,9,14,6,23,34,-14,20:24,17:18,2:46,0:18,0.602,0.936,1.537,0.63,0.709,1.339,0.491,2.456,2.948,0.205,0.318,0.523,134,6.7%,38,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Reilly,BOS,27,D,55,0,27,4,27,22,5,19:16,16:33,1:08,1:34,0,1.528,1.528,0,1.515,1.515,0,3.82,3.82,0,0.491,0.491,98,0.0%,70,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Nurse,EDM,26,D,56,16,20,7,36,57,27,25:37,21:50,1:22,2:24,0.669,0.836,1.505,0.736,0.687,1.423,0.778,4.668,5.446,0.286,0.357,0.643,154,10.4%,117,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Ekblad,FLA,25,D,35,11,11,11,22,33,5,25:05,18:41,3:52,2:31,0.752,0.752,1.503,0.459,0.55,1.009,2.65,2.209,4.859,0.314,0.314,0.629,101,10.9%,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Ekman-Larsson,ARI,29,D,46,3,21,14,24,32,-17,20:58,16:50,2:22,1:45,0.187,1.306,1.493,0.077,0.697,0.774,1.101,6.604,7.705,0.065,0.457,0.522,83,3.6%,72,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Cirelli,TBL,24,C/RW,50,9,13,4,22,10,0,17:44,13:46,1:55,2:02,0.609,0.879,1.488,0.522,0.871,1.393,0.623,1.869,2.493,0.18,0.26,0.44,75,12.0%,64,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kailer Yamamoto,EDM,23,RW,52,8,13,2,21,26,9,16:21,15:00,0:37,0:44,0.564,0.917,1.481,0.538,0.846,1.385,1.852,1.852,3.704,0.154,0.25,0.404,69,11.6%,52,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie McAvoy,BOS,24,D,51,5,25,8,30,38,22,24:00,19:36,1:58,2:24,0.245,1.225,1.47,0.24,1.02,1.26,0.593,4.154,4.748,0.098,0.49,0.588,92,5.4%,65,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikhail Sergachyov,TBL,23,D,56,4,26,8,30,30,5,21:58,18:10,2:04,1:43,0.195,1.268,1.463,0.236,1.061,1.297,0,4.134,4.134,0.071,0.464,0.536,108,3.7%,66,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Chabot,OTT,24,D,49,6,25,7,31,36,-15,26:17,22:36,3:25,0:15,0.28,1.165,1.444,0.271,1.029,1.3,0.357,2.144,2.501,0.122,0.51,0.633,120,5.0%,68,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Smith,NJD,20,D,48,2,21,7,23,22,-9,20:07,17:27,2:32,0:06,0.124,1.304,1.429,0.072,1.074,1.145,0.49,2.942,3.433,0.042,0.438,0.479,69,2.9%,32,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Toews,COL,27,D,53,9,22,6,31,16,29,24:46,19:56,1:43,3:05,0.411,1.005,1.417,0.397,1.022,1.419,1.309,2.617,3.926,0.17,0.415,0.585,121,7.4%,44,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Doughty,LAK,31,D,56,8,26,18,34,26,-14,26:22,20:57,3:19,2:05,0.325,1.056,1.381,0.102,0.664,0.767,1.933,3.867,5.8,0.143,0.464,0.607,101,7.9%,91,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Pietrangelo,VGK,31,D,41,7,16,4,23,16,20,24:25,19:33,2:38,2:13,0.419,0.959,1.378,0.524,0.823,1.347,0,2.216,2.216,0.171,0.39,0.561,126,5.6%,28,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Spurgeon,MIN,32,D,54,7,18,9,25,6,-2,22:05,17:16,2:49,1:59,0.352,0.905,1.258,0.257,0.772,1.029,1.177,2.355,3.532,0.13,0.333,0.463,94,7.5%,52,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mattias Ekholm,NSH,30,D,48,6,17,2,23,14,19,22:52,18:40,1:33,2:38,0.328,0.929,1.257,0.402,0.937,1.339,0,1.604,1.604,0.125,0.354,0.479,110,5.5%,23,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brett Pesce,CAR,26,D,55,4,21,5,25,20,14,22:47,18:48,0:51,3:07,0.191,1.005,1.197,0.174,0.986,1.16,1.281,5.123,6.403,0.073,0.382,0.455,89,4.5%,17,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Hronek,DET,24,D,56,2,24,11,26,16,-18,23:23,18:49,2:32,2:01,0.092,1.1,1.191,0.114,0.74,0.854,0,4.632,4.632,0.036,0.429,0.464,114,1.8%,67,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brent Burns,SJS,36,D,56,7,22,6,29,36,-13,26:08,20:37,2:38,2:51,0.287,0.902,1.189,0.26,0.883,1.143,0.812,1.624,2.437,0.125,0.393,0.518,138,5.1%,31,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth Jones,CHI,27,D,56,5,23,8,28,26,-18,25:13,21:15,2:00,1:58,0.212,0.977,1.189,0.151,0.857,1.008,1.068,3.203,4.27,0.089,0.411,0.5,141,3.6%,102,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miro Heiskanen,DAL,22,D,55,8,19,11,27,12,-9,24:58,20:38,2:44,1:35,0.35,0.83,1.18,0.264,0.582,0.846,1.194,3.183,4.376,0.145,0.345,0.491,121,6.6%,47,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasmus Dahlin,BUF,21,D,56,5,18,11,23,26,-36,21:36,18:27,3:04,0:05,0.248,0.893,1.14,0.232,0.464,0.697,0.349,3.491,3.841,0.089,0.321,0.411,115,4.4%,80,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Fowler,ANA,30,D,56,5,18,4,23,18,-4,21:45,18:01,1:47,1:56,0.246,0.886,1.132,0.297,0.832,1.129,0,2.392,2.392,0.089,0.321,0.411,75,6.7%,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Provorov,PHI,23,D,56,7,19,10,26,28,4,24:59,19:44,2:23,2:52,0.3,0.814,1.114,0.38,0.489,0.869,0,4.483,4.483,0.125,0.339,0.464,126,5.6%,56,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Faulk,STL,29,D,56,7,18,5,25,35,11,24:15,20:42,0:52,2:40,0.309,0.795,1.104,0.31,0.621,0.931,1.224,4.895,6.118,0.125,0.321,0.446,117,6.0%,127,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Karlsson,SJS,31,D,52,8,14,8,22,18,-18,23:35,19:27,2:56,1:12,0.391,0.685,1.076,0.297,0.474,0.771,1.179,1.965,3.145,0.154,0.269,0.423,110,7.3%,20,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
