Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mats Zuccarello,MIN,34,RW,42,11,24,6,35,8,9,16:40,14:19,2:20,0:00,0.942,2.055,2.997,0.798,2.094,2.892,1.825,1.825,3.649,0.262,0.571,0.833,74,14.9%,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Nylander,TOR,25,LW/RW,51,17,25,11,42,16,10,16:36,14:09,2:25,0:00,1.205,1.772,2.976,1.08,1.495,2.576,1.939,3.393,5.333,0.333,0.49,0.824,133,12.8%,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Tavares,TOR,31,C,56,19,31,12,50,14,12,18:11,15:33,2:36,0:02,1.119,1.825,2.944,0.895,1.721,2.617,2.472,2.472,4.943,0.339,0.554,0.893,163,11.7%,51,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Stamkos,TBL,31,C/RW,38,17,17,15,34,16,4,18:16,14:00,3:37,0:37,1.469,1.469,2.939,0.789,1.24,2.029,4.35,2.175,6.525,0.447,0.447,0.895,91,18.7%,38,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrice Bergeron,BOS,36,C,54,23,25,13,48,16,27,18:13,13:06,3:17,1:48,1.402,1.524,2.927,1.102,1.525,2.627,2.358,2.021,4.378,0.426,0.463,0.889,182,12.6%,49,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Toffoli,CGY,29,LW/RW,52,28,16,10,44,24,0,17:31,14:19,2:24,0:47,1.844,1.054,2.897,1.53,0.966,2.496,3.351,1.436,4.787,0.538,0.308,0.846,158,17.7%,75,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Landeskog,COL,29,C/LW,54,20,32,15,52,34,14,19:57,15:46,4:09,0:01,1.113,1.782,2.895,0.775,1.832,2.606,2.406,1.604,4.01,0.37,0.593,0.963,155,12.9%,81,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Vrana,DET,24,LW,50,19,17,5,36,10,10,15:00,12:43,2:15,0:00,1.519,1.359,2.879,1.791,1.131,2.922,0,2.651,2.651,0.38,0.34,0.72,100,19.0%,29,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Vorácek,CBJ,32,LW/RW,53,9,34,8,43,18,-12,16:55,14:17,2:36,0:01,0.602,2.275,2.878,0.713,2.06,2.773,0,3.478,3.478,0.17,0.642,0.811,104,8.7%,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ondrej Palat,TBL,30,LW,55,15,31,20,46,26,1,17:27,14:11,3:12,0:02,0.937,1.937,2.875,0.615,1.383,1.998,2.374,4.41,6.784,0.273,0.564,0.836,111,13.5%,82,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Pavelski,DAL,37,C/RW,56,25,26,21,51,16,22,19:01,15:14,3:06,0:41,1.408,1.464,2.873,0.844,1.266,2.11,4.491,2.764,7.255,0.446,0.464,0.911,139,18.0%,64,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Strome,NYR,28,C/RW,56,14,35,18,49,39,6,18:16,14:07,3:13,0:55,0.821,2.052,2.873,0.835,1.366,2.201,0.995,4.974,5.968,0.25,0.625,0.875,128,10.9%,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Ovechkin,WSH,36,LW,45,24,18,17,42,12,-7,19:30,15:15,4:12,0:01,1.641,1.231,2.872,1.31,0.873,2.183,2.847,2.531,5.377,0.533,0.4,0.933,182,13.2%,98,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgeni Malkin,PIT,35,C,33,8,20,9,28,24,-4,17:44,14:30,3:10,0:03,0.82,2.05,2.87,0.501,1.879,2.381,2.289,2.861,5.15,0.242,0.606,0.848,72,11.1%,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Connor,WPG,25,LW,56,26,24,13,50,12,-4,18:45,15:37,3:01,0:06,1.485,1.371,2.856,1.097,1.44,2.538,3.547,1.064,4.611,0.464,0.429,0.893,166,15.7%,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Gaudreau,CGY,28,LW/RW,56,19,30,19,49,6,2,18:24,14:56,3:24,0:03,1.106,1.746,2.851,0.86,1.29,2.15,2.196,3.764,5.96,0.339,0.536,0.875,112,17.0%,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavel Buchnevich,STL,26,LW/RW,54,20,28,8,48,42,12,18:43,14:11,2:13,2:19,1.186,1.661,2.847,1.253,1.567,2.82,0.499,3.495,3.994,0.37,0.519,0.889,120,16.7%,49,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Duclair,FLA,26,LW/RW,43,10,22,2,32,18,27,15:41,13:46,1:19,0:34,0.89,1.957,2.847,0.911,2.025,2.937,1.052,1.052,2.104,0.233,0.512,0.744,104,9.6%,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Fiala,MIN,25,LW/RW,50,20,20,14,40,43,-2,16:53,13:28,3:05,0:19,1.42,1.42,2.84,1.247,1.069,2.316,2.323,3.098,5.421,0.4,0.4,0.8,162,12.4%,27,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carter Verhaeghe,FLA,26,C/LW,43,18,18,2,36,31,24,17:44,16:07,1:22,0:14,1.416,1.416,2.833,1.385,1.472,2.856,1.019,1.019,2.038,0.419,0.419,0.837,107,16.8%,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Couturier,PHI,28,C,45,18,23,10,41,8,-4,19:19,14:40,2:36,2:02,1.242,1.587,2.828,1.363,1.453,2.816,1.53,3.569,5.098,0.4,0.511,0.911,120,15.0%,34,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brayden Point,TBL,25,C/RW,56,23,25,15,48,11,2,18:26,15:01,3:24,0:00,1.337,1.453,2.79,1.213,1.141,2.354,1.889,2.834,4.723,0.411,0.446,0.857,131,17.6%,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan O'Reilly,STL,30,C,56,24,30,12,54,18,26,20:44,16:03,2:39,2:02,1.239,1.549,2.788,1.201,1.468,2.669,1.615,3.23,4.845,0.429,0.536,0.964,129,18.6%,24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Hoffman,MTL,32,LW/RW,52,17,19,17,36,10,2,15:03,13:05,1:56,0:01,1.302,1.455,2.757,0.881,0.793,1.674,4.147,5.925,10.072,0.327,0.365,0.692,113,15.0%,29,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Marchessault,VGK,31,C/LW/RW,55,18,26,6,44,39,19,17:25,14:51,2:33,0:00,1.127,1.628,2.755,1.101,1.688,2.79,1.281,1.281,2.562,0.327,0.473,0.8,176,10.2%,44,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Boeser,VAN,24,RW,56,23,26,14,49,16,-3,19:19,15:38,3:38,0:01,1.276,1.442,2.717,0.959,1.37,2.328,2.35,1.763,4.113,0.411,0.464,0.875,141,16.3%,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
